Movie ID,Title,Genre,Director,Cast,Release Date,Budget (in millions),Runtime (in minutes),Box Office Revenue (in millions)
1,Kabaddi 4: The Final Match,Romantic/Comedy,Ram Babu Gurung,"Dayahang  Rai, Saugat Malla ",2022-05-27,0.228,137,1.78
2,Chhakka Panja ,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2016-09-09,0.0679,139,1.32
3,Chhakka Panja 2,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2017-08-27,0.0797,135,1.15
4,Chhakka Panja 3,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2018-10-01,0.16,145,1.62
5,Chhakka Panja 4,Comedy,Hem Raj BC,"Deepak Raj Giri, Kedar Ghimire",2023-03-03,0.228,152,1.34
6,Chhakka Panja 5,Comedy,Deepa Shree Niraula,"Deepak Raj Giri, Kedar Ghimire",2024-10-10,0.288,120,1.1
7,Kabaddi Kabaddi Kabaddi,Romantic/Comedy,Ram Babu Gurung,"Dayahang  Rai, Upasana Singh Thakuri",2019-09-20,0.219,115,1.18
8,Shatru Gate,Drama,Pradip Bhattarai,"Hari Bansha Acharya, Madan Krishna Shrestha ",2018-03-23,0.094,125,1.13
9,Mahajatra ,Drama,Pradip Bhattarai,"Hari Bansha Acharya, Bipin Karki  ",2024-03-22,0.187,160,2.03
10,Kohinoor,Drama,Aakash Adhikari ,"Shree Krishna Shrestha, Shweta Khadka",2014-08-08,0.15,138,1.12
11,Boksi ko Ghar,Drama,Sulakshyan Bharati,"Keki Adhikari, Swechchha Raut ",2024-04-26,0.075,109,0.768
12,Dimag Kharab,Comedy,Nischal Basnet,"Khagendra Lamichhane, Dayahang Rai ",2023-11-10,0.3,148,0.757
13,12 Gaun,Action/Drama,Biraj Bhatta ,"Biraj Bhatta, Samir Bhatt",2024-10-10,0.3,147,1.6
14,Prem Geet 3,Romance,Chheetan Gurung & Santosh Sen ,"Pradeep Khadka, Kristina Gurung ",2022-09-23,0.34,130,2.9
15,Chha Maya Chhapakkai,Drama/Comedy,Dipendra Lama ,"Deepak Raj Giri, Kedar Ghimire",2019-10-11,0.132,145,0.832
16,A Mero Hajur 3,Romance,Jharana Thapa ,"Anmol KC, Suhana Thapa ",2019-04-12,0.174,125,0.768
17,Pashupati Prasad 2: Bhasme Don,Comedy,Dipendra k.Khanal,"Bipin Karki, Saugat Malla ",2023-10-21,0.225,147,0.759
18,Loot 2,Action/Comedy, Nischal Basnet," Saugat Malla, Dayahang Rai",2017-02-24,0.149,130,0.987
19,Kri,Drama,Surendra Poudel,"Aditi Budhathoki, Anmol K.C.",2018-02-09,0.259,138,0.63
20,Loot ,Comedy/Action,Nischal Basnet,"Saugat Malla, Karma Shakya ",2012-01-13,0.007,121,0.583
21,A Mero Hajur 4,Romance,Jharana Thapa ,"Anmol KC, Suhana Thapa ",2022-04-14,0.11,138,0.25
22,A Mero Hajur 2,Romance,Jharana Thapa ,"Smjhana Lama, Samragyee RL Shah ",2017-09-01,0.145,138,0.814
23,Prem Geet ,Romance,Sudarshan Thapa ,"Pradeep Khadka, Rupa Rana",2016-02-12,0.094,137,0.361
24,Prem Geet 2,Romance,Ram Sharan Pathak ,"Pradeep Khadka, Aaslesha Thakuri ",2017-07-28,0.28,138,1.16
25,Kabaddi ,Romantic/Drama,Ram Babu Gurung,"Dayahang Rai, Nischal Basnet ",2014-04-25,0.035,123,0.26
26,Kabaddi  Kabaddi,Romantic/Drama,Ram Babu Gurung,"Dayanhang Rai, Saugat Malla ",2015-11-27,0.96,133,0.988
27,Baahubali 2: The Conclusion,Action/Fantasy,S.S. Rajamouli ,"Prabhas, Rana Daggubati ",2017-04-28,37.8,171,300
28,Baahubali ,Action/Fantasy,S.S. Rajamouli ,"Prabhas, Rana Daggubati ",2015-07-10,27.9,159,120
29,KGF: Chapter 2,Action,Prashanth Neel,"Yash, Sanja Dutt",2022-04-14,12,168,114
30,K.G.F,Action,Prashanth Neel,"Yash, Sanja Dutt",2018-12-21,9.6,155,30
31,Kalki 2898 AD,Sci-Fi,Nag Ashwin,"Prabhas, Kamal Hassan",2024-06-27,72,181,144
32,RRR,Action/Drama,S.S. Rajamouli ,"N.T.Rama Rao Jr, Ram Charan",2022-03-25,66,182,170
33,Pathaan,Action,Siddharth Anand,"Shah Rukh Khan, Deepika Paukone ",2023-01-25,30,146,166
34,Jawan,Action,Atlee Kumar,"Shah Rukh Khan, Deepika Paukone ",2023-09-07,36,169,137.8
35,Dangal,Drama/Sport,Nitesh Tiwari,"Amir Khan, Kiran Rao ",2016-12-23,8.4,161,334
36,Animal,Action,Sandesh Reddy Vanga,"Ranbir Kapoor, Anil Kapoor ",2023-12-01,12,201,110
37,PK,Comedy/Drama,Rajumar Hirani ,"Amir Khan, Anushka Sharma ",2014-12-19,14.64,152,118.92
38,Sultan,Action/Romance,Ali Abbas Zafar,"Salman Khan, Anushka Sharma ",2016-07-06,10.8,170,93
39,Salaar:Part1-Ceasefire,Action,Prashanth Neel,"Prabhas, Prithviraj Sukumaran ",2023-12-22,32.4,175,83
40,Avatar:The Way of Water,Sci-Fi/Adventure,James Cameron ,"Sam Worhington, Zoe Saldana ",2022-12-16,460,192,2320
41,Spider-Man:No Way Home,Superhero,Jon Watts,"Tom Holland, Zendaya ",2021-12-17,200,148,1952
42,Bajrangi Bhaijaan,Drama/Adventure,Kabir Khan,"Salman Khan, Harshaali Malhotra ",2015-07-17,9,159,143.13
43,Dhoom 3, Action/Comedy,Vijay Krishna Acharya ,"Amir Khan, Abishek Bachchan ",2013-12-20,12,172,85.53
44,Senti Virus,Comedy/Drama,Rambabu Gurung,"Sitaram Kateel, Dayahang Rai",2020-02-21,0.213,135,0.313
45,Jaari,Social /Drama ,Upendra Subba ,"Dayahang Rai, Miruna Magar ",2023-04-14,0.15,121,1.3
46,Jatra ,Comedy ,Pradip Bhattarai,"Bipin Karki, Rabindra Singh Baniya  ",2016-11-11,0.266,144,0.261
47,Jatrai jatra,Comedy,Pradip Bhattarai,"Bipin Karki, Rabindra Singh Baniya  ",2019-05-17,0.1292,137,0.88
48,Apabad  ,Drama,Subash Koirala ,"Nisha Adhikari, Raj Ballav Koirala ",2012-05-18,0.021,110,0.035
49,Pardeshi ,Drama ,Narayan Rayamajhi,"Prashant Tamang, Rajani K.C",2015-10-22,0.075,143,0.44
50,Pardeshi 2,Drama ,Narayan Rayamajhi,"Prashant Tamang, Keki Adhikari ",2023-10-12,0.08,143,0.522
51,Jhatkka,Comedy ,Wronit Bee Mizaar ,"Surbir Pandit, Rakshya Guragai ",2019-05-24,0.06,137,0.09
52,Shambhala,Drama,Min Bhadur Bham,"Thinley Lhamo, Sonam Topden ",2024-02-23,1.1,150,0.104
53,Agastya,Action ,Saurav Chaudhary,"Saugat Malla, Naijr Husen",2024-03-01,0.19,160,0.175
54,Hostel,Comedy/Drama,Hem Raj BC,"Anmol KC, Gaurav Pahari",2013-06-20,0.058,135,0.18
55,Hostel Returns,Comedy/Drama,Suraj Bhusal,"Najir Hussain, Swastima Khadka ",2015-08-21,0.0684,125,0.152
56,Jerryy,Romantic/ Drama,Hem Raj BC,"Anmol KC, Anna Sharma",2014-11-14,0.0646,138,0.208
57,Dreams,Romantic/ Comedy,Bhuwan KC,"Anmol KC, Sandhya Kc",2016-03-04,0.057,166,0.29
58,Nai Nabhannu La 4,Romantic ,Bikash Raj Acharya ,"Paul Shah, Priyanka Karki",2016-04-08,0.684,120,0.298
59,Mukhauta,Action/Drama,Arpan Thapa ,"Sunil Thapa, Rajesh Hamal ",2014-06-13,0.684,142,0.0052
60,Venom,Superhero,Ruben Fleischer,"Tom Hardy, Michelle Williams",2018-10-05,100,112,856.1
61,Avengers: Infinity War,Superhero,"Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Hemsworth",2018-04-27,325,149,2052
62,Avengers: End Game,Superhero,"Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Hemsworth",2019-04-26,356,181,2799
63,Minions: The Rise of Gru,Comedy/Animation,Kyle Balda,"Steve Carell, Pierre Coffin",2022-07-01,80,87,940.2
64,Despicable Me 4,Comedy/Animation,Chris Renaud,"Steve Carell, Pierre Coffin",2024-07-03,100,95,968.3
65,Spider-Man: Far From Home,Superhero,Jon Watts,"Tom Holland, Zendaya ",2019-07-02,160,129,1133
66, Top Gun:Maverick,Action/Drama,Josep Kosinski ,"Tom Cruise, Miles Teller ",2022-05-27,170,131,1496
67,Samrat Prithviraj,Action/Drama,Chandraprakash Dwivedi ,"Akshay Kumar, Sanjay Dutt ",2022-06-03,17,135,10
68,Vikram Vedha,Action,Pushkar Gayathri ,"Saif Ali Khan, Hirithik Roshan",2022-09-30,11,151,16.05
69,Major,Action/Drama,Sashi Kiran Tikka,"Adivi Sesh, Prakash Raj",2022-06-03,3.81,146,7.61
70,Brahmastra part one: Shiva,Action/Adventure,Ayan Mukerji ,Amirabh Bachchan ,2022-09-09,44.63,167,49.84
71,Drishyam 2,Action/Drama,Abhishek Pathak,"Ajay Devgn, Askshaye Khanna ",2022-11-18,5.9,140,41
72,Uunchai,Adventure/Drama,Sooraj R.Barjatya,"Amitabh Bachchan, Anupam Kher ",2022-11-11,2.9,170,5.69
73,Kantara,Action/Thriller,Rishabh Shetty,"Rishabh Shetty, Sapthami Gowda ",2022-09-30,1.8,148,47
74,Kisi Ka Bhai Kisi Ki Jaan,Action/Comedy,Farhad Samji,"Salman Khan, Pooja Hegde",2023-04-21,15,144,22
75,Black Panther: Wakanda Forever,Superhero,Ryan Coogler ,"Chadwick Boseman, Michael B.Jordan",2018-02-16,200,134,1350
76,Adipurush,Mythological /Action,Om Raut ,"Prabhas, Saif Ali Khan ",2023-06-16,84,179,41.5
77,Laal Singh Chaddha,Comedy/Drama,Advait Chandan ,"Amair Khan, Kareena Kapoor Khan ",2022-08-11,21.3,159,15.4
78,John Wick: Chapter 4,Action/Thriller,Chad Stahelski ,"Keanu Reeves, Donnie yen",2023-03-24,100,169,440.1
79,Guardian of the Galaxy Vol.3,Superhero,James Gunn,"Chris Pratt, Zoe Saldana",2023-05-05,250,150,845.6
80,Shamshera,Action/Drama,Karan Malhotra ,"Ranbir Kapoor, Sanjay Dutt",2022-07-22,17.8,159,7.4
81,Fast X,Action,Louis Leterrier ,"Bin Diesel, Michelle Rodriguez",2023-05-19,378.8,141,715
82,Tu Jhoothi Main Makkar,Romantic/Comedy,Luv Ranjan,"Ranbir Kapoor, Shraddha Kapoor ",2023-03-08,23,164,26.1
83,Spider-Man: Across the Spider-Verse,Animation/Superhero,"Joaquim Dos Santos, Kemp Powers, Justin K.Thompson ","Shamek Moore, Hailee Steinfeld, Jake Johnson",2023-06-02,100,140,690.8
84,Liger,Action/Drama,Puri Jagannadh,"Vijay Deverakonda, Mike Tyson ",2022-08-25,14,138,7.1
85,Black Adam,Superhero,Jaume Collet-Serra ,"Dwayne Johnson, Pierce Brosnan",2022-10-21,190,125,393.5
86,Bholaa,Action/Thriller,Ajay Devgn,"Ajay Devgn, Tabu",2023-03-30,11,144,13
87,The Kerala Story,Drama,Sudipto Sen,"Adah Sharma, Yogita Bihani",2023-05-05,1.7,138,35
88,Ant-Man and The Wasp: Quantumania ,Superhero,Peyton Reed ,"Paul Rudd, Evangeline lilly",2023-02-17,388,124,476
89,Bhediya,Comedy/Horror,Amar Kaushik,"Varun Dhawan, Kriti Sanon",2022-11-25,7,156,10
90,Evil Dead Rise,Horror,Lee Cronin,"Lily Sullivan, Alyssa Sutherland",2023-04-21,15,97,147
91,Satya Prem Ki katha,Romantic/Drama,Sameer Vidwans,"Kartik Aaryan, Kiara Advani",2023-06-29,7,144,14
92,Barbie ,Comedy,Warner Bros ,"Margot Robbie, Ryan Gosling ",2023-07-21,128,114,1446
93,The Super Mario Bros. Movie ,Animation/Comedy,"Aaron Horvath, Michael Jelenic ","Chris Pratt, Anya Taylor-Joy ",2023-04-05,100,92,1362
94,Oppenheimer ,Biographical/Thriller,Christopher Nolan,"Cillian Murphy, Emily Blunt ",2023-07-21,100,180,977
95,Full River Red ,Comedy/Thriller ,Zhang Yimou,"Shen Tneg, Jackson Yee",2023-01-22,72.7,159,634
96,Wonka ,Fantasy/Comedy,Paul King ,"Timothee Chalamet, Calah Lane ",2023-12-15,125,116,634.4
97,The Wandering Earth 2,Sc-Fi/Adventure ,Fant Gwo,"Wu Jing, Andy Lau ",2023-01-22,125,173,604.5
98,"
Mission: Impossible ï¿½ Dead Reckoning",Spy/Action,Christopher McQuarrie ,"Tom Cruise, Hayley Atwell",2023-07-12,291,163,570.6
99,Sound of Freedom ,Thriller,Alejandro Monteverde ,"Jim Caviezel, Mira Sorvino ",2023-07-04,14.5,131,250
100,M3GAN,Sc-Fi/Horror,Gerard Johnstone ,"Allison Williams, Violet McGraw ",2023-01-06,12,102,181
101,The Old Way ,Action/Western,Brett Donowho ,"Nicolas Cage, Rayan Kiera Armstrong",2023-01-06,1,95,0.059
102,The Devil Conspiracy ,Sc-Fi/Horror,Nathan Frankowski ,"Alice Orr-Ewing, Joe Doyle ",2023-01-13,5,111,0.98
103,Plane ,Action/Thriller,Jean-Francois Richet ,"Gerard Butler, Mike Colter ",2023-01-13,25,107,74.5
104,House Party ,Comedy,Caimatic ,"Tosin cole, Jacoob Latimore ",2023-01-13,2.5,98,9.3
105,Sick,Slasher/Action,John Hyams ,"Gideon Adlon, Beth Million",2023-01-13,7,83,1
106,Missing ,Thriller,"Will Merrick, Nick Johnson","Strom Reld, Joaquim de Almeida ",2023-01-20,7,111,48.8
107,The Son ,Drama,Florian Zeller ,"Hugh Jackman, Laura Dern ",2023-03-01,6,123,3.6
108,When You Finish Saving The World ,Comedy/Drama,Jesse Eisenberg,"Julianne Moore, Finn Wofhard ",2023-01-20,0.5,88,0.1
109,Iron Man,Superhero,Jon Favreau ,"Robert Downey Jr., Terrence Howard ",2023-05-02,130,126,585
110,The Incredible Hulk ,Superhero,Louis Leterrier ,"Edward Norton, Liv Tyler ",2008-06-13,137.5,112,265.5
111,Iron Man 2,Superhero,Jon Favreau ,"Robert Downey Jr., Gwyneth Paltrow",2010-05-07,170,125,623.9
112,Thor ,Superhero,Kenneth Branagh,"Chris Hemsworth, Natalie Portman",2011-05-06,150,114,449.3
113,Captain America:The First Avenger ,Superhero,Joe Johnston,"Chris Evans, Tommy Lee Jones ",2011-07-22,140,124,370.6
114,The Avengers ,Superhero,Joss Whedon,"Robert Downey Jr., Chris Evans ",2012-05-04,220,143,1521
115,Iron Man 3,Superhero,Shane Black ,"Rober Downey Jr., Gwayneth Paltrow ",2013-05-03,200,131,1216
116,Thor:The Dark World ,Superhero,Alan Taylor ,"Chris Hemsworth, Natalie Portman",2013-11-08,150,112,644.8
117,Captain America:The Winter Soldier ,Superhero,"Anthony Russo, Joe Russo ","Chris Evans, Scarlett Johansson ",2014-04-04,170,136,714.4
118,Guardians of the Galaxy,Superhero,James Gunn,"Chris Pratt, Zoe Saldana",2014-08-01,232.3,122,773.4
119,Avengers:Age of Ultron,Superhero,Joss Whedon,"Robert Downey Jr., Chris Hemsworth",2015-05-01,365,141,1405
120,Ant-Man  ,Superhero,Peyton Reed ,"Paul Rudd, Evangeline lilly",2015-07-17,130,117,519.3
121,Captain America:Civil War ,Superhero,"Anthony Russo, Joe Russo ","Chris Evans, Robert Downey Jr.",2016-05-06,250,147,1155
122,Doctor Strange ,Superhero,Scott Derrickson,"Benedict Cumberbatch, Chiwetel Ejiofor ",2016-11-04,165,115,677.8
123,Guardians of the Galaxy Vol.2,Superhero,James Gunn,"Chris Pratt, Zoe Saldana",2017-05-05,200,136,869
124,Spider-Man:Homecoming,Superhero,Jon Watts,"Tom Holland, Zendaya ",2017-07-07,175,133,880.9
125,Thor:Ragnarok ,Superhero ,Talka Waititi,"Chris Hemsworth, Tom Hiddleston",2017-11-03,180,130,865
126,Black Panther ,Superhero ,Ryan Coogler ,"Chadwick Boseman, Michael B.Jordan",2018-02-16,200,134,1350
127,Avengers:Infinity War ,Superhero ,"Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Hemsworth",2018-04-27,325,149,2052
128,Ant-Man and The Wasp ,Superhero ,Peyton Reed ,"Paul Rudd, Evangeline lilly",2018-07-06,130,118,622.7
129,Captian Marvel ,Superhero ,Anna Boden ,"Brie Larson, Samuel L. Jackson",2018-03-08,152,124,1131
130,Avengers:Endgame ,Superhero ,"Anthony Russo, Joe Russo ","Robert Downey Jr., Chris Hemsworth",2018-04-22,356,181,2799
131,Black Widow ,Superhero ,Cate Shortland ,"Scarlett Johansson, Florence Pugh ",2021-07-09,288.5,134,379.8
132,Shang-Chi and the Legend of the Ten Rings ,Superhero ,Destin Daniel Cretton ,"Simu Liu, Awkwafina ",2021-08-16,150,132,432.2
133,Enternals ,Superhero ,Chloe Zhao ,"Gemma Chan, Richard Madden",2021-11-05,236.2,156,402.1
134,Doctor Strange in the Multiverse of Madness ,Superhero ,Sameer Vidwans,"Benedict Cumberbatch, Chiwetel Ejiofor ",2022-05-06,414.9,126,955.8
135,Thor:Love and Thunder ,Superhero ,Taika Waititi,"Chirs Hemsworth, Christian Bale ",2022-07-08,250,119,760.9
136,The Marvels,Superhero ,Nia DaCosta,"Brie Larson, Samuel L. Jackson",2023-11-10,274.8,105,206.1
137,Deadpool and Wolverine,Superhero ,Shawn Levy,"Ryan Reynolds, Hugh Jackman",2024-07-22,200,128,1338
138,Man of Steel ,Superhero ,Zack Snyder ,"Henry Cavill, Amy Adams",2013-06-14,225,143,670
139,Batman v Superman:Dawn of Justice,Superhero ,Zack Snyder ,"Ben Affleck, Henry Cavill",2016-03-25,250,152,874.4
140,Suicide Squad ,Superhero ,David Ayer ,"Will Smith, Jared Leto ",2016-08-05,175,123,749.2
141,Wonder Women ,Superhero ,Patty Jenkins ,"Gal Gadot, Chris Pine ",2017-06-02,149,141,824
142,Justic League ,Superhero ,"Zack Snyder, Joss Whedon ","Ben Affleck, Henry Cavill",2017-11-17,300,120,661.3
143,Aquaman ,Superhero ,James Wan ,"Jason Momoa, Amber Heard ",2018-12-21,160,143,1152
144,Shazam ,Superhero ,David F.Sandberg ,"Zachary Levi, Mark Strong ",2019-04-05,90,132,367.8
145,Birds of Prey,Superhero ,Cathy Yan,"Margot Robbie, Mary Elizabeth ",2020-02-07,82,109,205.5
146,Wonder Women 1984,Superhero ,Patty Jenkins ,"Gal Gadot, Chris Pine ",2020-12-25,200,151,170
147,Zack Snyder's Justice League ,Superhero ,Zack Synder,"Ben Affleck, Henry Cavill",2021-03-18,70,242,90
148,The Suicide Squad ,Superhero ,James Gunn,"Margot Robbie, Idris Elba ",2021-08-05,185,132,168.7
149,Shazam! Fury of the Gods ,Superhero ,David F.Sandberg ,"Zachary Levi, Asher Angel",2023-03-17,110,130,134.1
150,The Flash ,Superhero ,Andy Muschietti ,"Ezra Miller, Sasha Calle ",2023-06-16,200,144,271.4
151,Blue Beetle ,Superhero ,Angle Manuel Soto ,"Xolo Mariduena, Adriana Barraza ",2023-08-18,104,127,130.8
152,Aquaman and the Lost Kingdom ,Superhero ,James Wan ,"Jason Momoa, Amber Heard ",2023-12-22,205,124,434.4
153,Harry Potter and the Philosopher's Stone ,Fantasy,Chris Columbs ,"Daniel Radcliffe, Rupert Grint ",2001-11-16,125,152,1024
154,Harry Potter and the Chamber of Secrets ,Fantasy,Chris Columbs ,"Daniel Radcliffe, Rupert Grint ",2002-11-15,100,161,882.5
155,Harry Potter and the Prisoner of Azkaban ,Fantasy,Alfonso Cuaron,"Daniel Radcliffe, Rupert Grint ",2004-06-04,130,142,808.5
156,Harry Potter and the Goblet of Fire ,Fantasy,Mike Newell,"Daniel Radcliffe, Rupert Grint ",2005-11-18,150,157,897.5
157,Harry Potter and the Order of the Phoenix ,Fantasy,David Yates,"Daniel Radcliffe, Rupert Grint ",2007-07-11,150,138,942.2
158,Harry Potter and the Half-Blood Prince,Fantasy,David Yates,"Daniel Radcliffe, Rupert Grint ",2009-07-15,250,153,941
159,Harry Potter and the Deathly Hallows-Part 1,Fantasy,David Yates,"Daniel Radcliffe, Rupert Grint ",2010-11-19,250,146,960.9
160,Harry Potter and the Deathly Hallows-Part 2,Fantasy,David Yates,"Daniel Radcliffe, Rupert Grint ",2011-07-15,250,130,1342
161,The Lord of the Rings:The Followship of the Ring ,Fantasy/Adventure ,Peter Jackson,"Elijah Wood, Ian McKellen ",2001-12-20,93,178,887.4
162,The Lord of the Rings:The Two Towers,Fantasy/Adventure ,Peter Jackson,"Elijah Wood, Ian McKellen ",2002-12-18,94,179,951.6
163,The Lord of the Rings:The Return of the King ,Fantasy/Adventure ,Peter Jackson,"Elijah Wood, Ian McKellen ",2003-12-18,94,201,1151
164,Avatar ,Sc-Fi,James Cameron ,"Sam Worhington, Zoe Saldana ",2009-12-18,237,162,2923
165,Twilight ,Romantic/Fantasy,Catherine Hardwicke ,"Kristen Stewart, Robert Pattinson ",2008-11-21,37,121,408.4
166,The Twilight Saga: New Moon,Romantic/Fantasy,Chris Weitz ,"Kristen Stewart, Robert Pattinson ",2009-11-20,50,130,711
167,The Twilight Saga: Eclipse,Romantic/Fantasy,David Slade ,"Kristen Stewart, Robert Pattinson ",2010-06-30,68,123,698.4
168,The Twilight Saga: Breaking Dawn-Part 1,Romantic/Fantasy,Bill Condon ,"Kristen Stewart, Robert Pattinson ",2011-11-18,127,117,712.2
169,The Twilight Saga: Breaking Dawn-Part 2,Romantic/Fantasy,Bill Condon ,"Kristen Stewart, Robert Pattinson ",2012-11-16,136,115,848.6
170,Transformers ,Sc-Fi/Action,Michael Bay,"Shia LaBeouf, Tyrese Gibson ",2007-07-03,145,143,709.7
171,Transformers: Revenge of the Fallen ,Sc-Fi/Action,Michael Bay,"Shia LaBeouf, Tyrese Gibson ",2009-07-24,200,150,836.5
172,Transformers: Dark of the Moon ,Sc-Fi/Action,Michael Bay,"Shia LaBeouf, Tyrese Gibson ",2011-07-29,195,154,1124
173,Transformers: Age of Extinction ,Sc-Fi/Action,Michael Bay,"Mark Wahlberg, Roger Barton ",2014-06-27,210,165,1104
174,Transformers:The Last Knight ,Sc-Fi/Action,Michael Bay,"Mark Wahlberg, Josh Duhamel",2017-06-21,217,149,605.4
