Movie ID,Title,Genre,Director,Cast,Release Date,Budget (in millions),Runtime (in minutes),Box Office Revenue (in millions)
337,The Hunger Games:Mockingjay-Part 2,Dystopian/Action ,Francis Lawrence ,"Jennifer Lawrence, Josh Hutcherson",2015-11-20,160,137,661.4
338,The Hunger Games:The Ballad of Songbirds & Snakes,Dystopian/Action ,Francis Lawrence ,"Tom Blyth, Rachel Zegler ",2023-11-17,100,157,348.9
339,Dragon Ball Super:Broly,Animation/Martial Arts/Fantasy ,Tatsuya Nagamine ,"Masako Nozawa, Ryo Horikawa ",2018-12-14,8.5,100,124
340,The Wind Rises ,Animation/Historical/Drama ,Hayao Miyazaki,"Hideaki Anno, Miori Takimoto",2013-07-20,30,126,136.5
341,Atlantis: The Lost Empire ,Animation/Sc-Fi/Fantasy ,"Gary Trousdale, Kirk Wise ","Michael J. Fox, James Garner ",2001-06-15,90,96,186.1
342,The Emperor's New Groove ,Animation/Fantasy/Comedy,Mark Dindal ,"David Spade, John Goodman ",2000-12-15,100,78,169.7
343,Arrietty ,Animation/Fantasy,Hiromasa Yonebayashi ,"Mirai Shida, Ryunosuke Kamiki ",2010-07-17,23,95,146
344,Home on the Range ,Animation/Western/Musical,Will Finn,"Roseanne Barr, Judi Dench ",2004-04-02,110,76,145.3
345,The SpongeBob SquarePants Movie ,Animation/Adventure/Comedy,Stephen Hillenburg,"Tom Kenny, Bill Fagerbakke ",2004-11-19,30,87,141
346,Sprit:Stallion of the Cimarron,Animation/Western,"Kelly Asbury, Lorna Cook","Matt Damon, James Cromwell",2002-05-24,80,83,122.6
347,Sing 2 ,Animation/Jukebox/Musical,Garth Jennings ,"Matthew McConaughey, Reese Witherspoon ",2021-12-22,85,110,408.4
348,Dinosaur ,Animation/Adventure/Live-action,"Ralph Zondag, Eric Leighton","D. B. Sweeney, Alfre Woodard ",2000-05-19,127.5,82,349.8
349,Toy Story ,Animation/Comedy,John Lasseter ,"Tom Hanks, Tim Allen ",1995-11-19,30,81,394.4
350,Toy Story 2,Animation/Comedy/Adventure ,John Lasseter ,"Tom Hanks, Tim Allen ",1999-11-24,90,92,511.4
351,Lightyear ,Animation/Sc-Fi/Action,Angus MacLane,"Chris Evans, Keke Palmer ",2022-06-17,200,105,226.4
352,The Smurfs ,Fantasy/Adventure/Comedy,Raja Gosnell,"Neil Patrick Harris, Jayma Mays",2011-07-29,110,103,563.7
353,Ted ,Fantasy/Adventure/Comedy,Seth MacFarlane ,"Mark Wahlberg, Mila Kunis ",2012-06-29,50,106,549.4
354,Teenage Mutant Ninja Turtles ,Superhero/Comedy ,Jonathan Liebesman ,"Megan Fox, Will Arnett ",2014-08-08,125,101,485
355,Alvin and the Chipmunks:The Squeakquel ,Live-action/Animation/Jukebox,Betty Thomas ,"Zachary Levi, David Cross ",2009-12-23,70,88,443.1
356,Detective Pikachu ,Fantasy ,Rob Letterman,"Ryan Reynolds, Justice Smith ",2019-05-10,150,104,450.1
357,Sonic the Hedgehog 2,Action/Adventure/Conedy,Jeff Fowler ,"Ben Schwartz, James Marsden ",2022-08-19,90,122,405.4
358,Alvin and the Chipmunks ,Live-action/Animation/Jukebox,Tim Hill,"Jason Lee, David Cross",2007-12-14,60,92,361.3
359,Who Framed Roger Rabbit ,Fantasy/Comedy ,Robert Zemeckis ,"Bob Hoskins, Christopher Lloyd ",1988-12-22,50.6,104,351.5
360,Peter Rabbit ,Comedy ,Will Gluck ,"Rose Byrne, Domhnall Gleeson ",2018-03-22,50,95,351.3
361,Mary Poppins Returns,Musical/Fantasy,Rob Marshall,"Emily Blunt, Lin-Manuel Miranda ",2016-12-19,130,131,349.5
362,The Smurfs 2,Fanstasy/Comedy ,Raja Gosnell,"Neil Patrick Harris, Jayma Mays",2013-07-31,105,105,347.5
363,Alvin and the Chipmunks:Chipwrecked ,Live-action/Animation/Jukebox,Mike Mitchell,"Jason Lee, David Cross",2011-12-16,80,87,342.7
364,Enchanted ,Live-action/Animation/Musical ,Kevin Lima ,"Amy Adams, Patrick Dempsey ",2007-11-21,25,107,340.5
365,Sonic the Hedgehog ,Action/Adventure/Comedy,Jeff Fowler ,"James Marsden, Jim Carrey ",2020-06-26,85,99,320
366,Stuart Little ,Live-action/Animation/Comedy,Rob Minkoff,"Geena Davis, Hugh Laurie ",1999-12-17,105,84,300.1
367,G-Force ,Spy/Adventure/Comedy,Hoyt H.Yeatman Jr.,"Bill Nighy, Will Arnett",2009-07-24,150,90,292.8
368,Casper ,Supernatural/Fantasy/Comedy ,Brad Silberling ,"Malachi Pearson, Christina Ricci ",1995-05-26,55,101,288
369,Stuart Little 2,Live-action/Animation/Comedy,Rob Minkoff,"Geena Davis, Hugh Laurie ",2002-07-19,120,78,170
370,Stuart Little 3:Call of the Wild ,Live-action/Animation/Comedy,Audu Paden ,"Michael J. Fox, Geena Davis ",2006-02-21,110,75,180
371,Paddington ,Live-action/Animation/Comedy,Paul King ,"Hugh  Bonneville, Sally Hawkins ",2014-12-03,65,95,282.8
372,Scooby-Doo,Mystery/Adventure ,Raja Gosnell,"Freddie Prinze Jr, Sarah Michelle Gellar ",2002-06-14,84,86,275.7
373,Space Jam ,Live-action/Animation/Comedy,Joe Pytka ,"Michael Jordan, Billy West",1996-11-15,80,88,250.2
374,Teenage Mutant Ninja Turtles:Out of the Shadows ,Superhero/Comedy ,Drave Green ,"Megan Fox, Will Arnett ",2016-05-22,135,112,245.6
375,Alvin and the Chipmunks:The Road Chip,Live-action/Animation/Jukebox,Walt Becker ,"Jason Lee, David Cross",2015-12-18,90,92,234.8
376,Paddington 2,Live-action/Animation/Comedy,Paul King ,"Hugh Bonneville, Sally Hawkins ",2017-12-06,40,104,227.3
377,Ted 2,Fantasy/Comedy,Seth MacFarlane ,"Mark Wahlberg, Seth MacFarlane ",2015-06-26,68,115,215.9
378,Yogi Bear ,Live-action/Animation/Comedy,Eric Brevig ,"Dan Aykroyd, Justin Timberlake ",2010-12-17,80,80,200
379,Garfield:The Movie,Comedy ,Peter Hewitt,"Breckin Meyer, Jennifer Love Hewitt",2004-06-11,50,84,208.1
380,Christopher Robin ,Live-action/Animation/Fantasy,Marc Forster ,"Ewan McGregor, Hayley Atwell",2018-08-03,65,104,197.7
381,The Big ,Fantasy/Adventure ,Steven Spielberg ,"Mark Rylance, Ruby Barnhill",2016-07-22,140,118,195.2
382,IF,Fantasy/Comedy ,John Krasinski ,"Cailey Fleming, Ryan Reynolds",2024-05-17,110,104,190.3
383,Scooby-Doo 2:Monsters Unleashed ,Mystery/Adventure/Comedy,Raja Gosnell,"Freddie Prinze Jr, Sarah Michelle Gellar ",2004-03-26,25,92,181.2
384,Hop,Live-action/Animation/Comedy,Tim Hill,"James Marsden, Russell Brand ",2011-04-01,63,95,183.9
385,Space Jam: A New Legacy ,Live-action/Animation/Sport ,Malcolm D.Lee,"LeBron James, Don Cheadle ",2021-07-16,150,115,163.7
386,Peter Rabbit 2: The Runway ,Adventure/Comedy ,Will Gluck ,"Rose Byrne, Domhnall Gleeson ",2021-06-11,45,93,154
387,Charlotte's Web,Fantasy ,Gary Winick ,"Julia Roberts, Dakota Fanning ",2006-12-15,85,97,150
388,Pete's Dragon ,Fantasy/Adventure,David Lowery ,"Bryce Dallas Howard, Oakes Fegley ",2016-08-12,65,103,143.7
389,Garfield:A Tail of Two Kittties ,Adventure/Comedy ,Tim Hill,"Breckin Meyer, Jennifer Love Hewitt",2006-06-16,60,78,143.3
390,Tom & Jerry ,Live-action/Comedy/Animation ,Tim Story ,"Chloe Grace Moretz, Michael Pena ",2021-02-26,50,101,136
391,Walking with Dinosaurs,Live-action/Animation,"Neil Nightingale, Barry Cook ","John Leguizamo, Justin Long ",2013-12-20,80,87,126.5
392,Dora and the Lost City of Gold ,Adventure/Comedy ,James Bobin ,"Isabela Moner, Eugenio Derbez ",2019-08-09,49,102,120.6
393,The Call of the Wild ,Adventure ,Chris Sanders ,"Harrison Ford, Omar Sy ",2020-02-21,125,100,111.1
394,"Lyle,Lyle, Crocodile ",Live-action/Animation/Comedy,"Will Speck, Josh Gordon ","Javier Bardem, Constance Wu",2022-10-07,50,106,111
395,Arthur and the Minimoys ,Live-action/Animation/Fantasy,Luc Besson ,"Robert De Niro, Madonna ",2006-11-29,63,103,107.9
396,Clifford the Big Red Dog ,Live-action/Animation/Fantasy,Walt Becker ,"Jack Whitehall, Darby Camp",2021-11-10,64,96,107.4
397,Mary Poppins  ,Musical/Fantasy/Comedy,Robert Stevenson ,"Julie Andrews, Dick Van Dyke ",1964-09-24,4.4,139,103.1
398,Cheburashka ,Action/Animation,Dmitry Dyachenko ,"Olga Kuzmina, Sergei Garmash ",2023-01-01,12,113,88.212
399,Arthur and the Revenge of Maltazard ,Live-action/Animation/Fantasy,Luc Besson ,"Freddie Prinze Jr, Selena Gomez ",2009-12-02,43,93,78.5
400,Looney Tunes:Back in Action ,Live-action/Animation/Comedy,Joe Dante ,"Brendan Fraser, Jenna Elfman ",2003-11-14,80,93,68.5
401,Song of the South ,Live-action/Animation/Musical ,"Harve Foster, Wilfred Jackson","Ruth Warrick, Lucile Watson ",1947-01-30,2.1,94,65
402,Monster Trucks ,Live-action/Animation/Comedy,Chris Wedge ,"Lucas Till, Jane Levy",2017-01-13,125,105,64.5
403,Houba! On the Trail of the Marsupilami ,Live-action/Comedy/Animation ,Alain Chabat ,"Alain Chabat, Jamel Debbouze",2012-04-04,41.6,105,51.1
404,Aliens in the Attic ,Sc-Fi/Fiction/Comedy,John Schultz,"Kevin Nealon, Robert Hoffman ",2009-07-31,45,86,59.6
405,The Adventures of Rocky and Bullwinkle ,Live-action/Animation/Adventure,Des McAnuff,"Rene Russo, Jason Alexander ",2000-06-20,76,92,35.1
406,Thomas and the Magic Railroad ,Fantasy/Adventure/Children,Britt Allcroft ,"Peter Fonda, Mara Wilson",2000-07-26,19,84,19.7
407,Woody Woodpecker ,Live-action/Animation ,Alex Zamm,"Eric Bauza, Timothy Omundson ",2018-02-06,10,91,15.3
408,Smurfs: The Lost Village ,Fantasy/Adventure/Comedy,Kelly Asbury,"Demi Lovato, Rainn Wilson ",2017-04-07,60,90,197.2
409,TMNT ,Superhero ,Kevin Munroe,"Chris Evans, Sarah Michelle Gellar",2007-03-23,34,87,95.6
410,Teenage Mutant Ninja Turtles:Mutant Mayhem ,Superhero,Jeff Rowe,"Micah Abbey, Shamon Brown Jr.",2023-08-02,70,99,180.5
411,It,Supernatural/Horror,Andy Muschietti ,"Jaden Lieberher, Bill Skarsgard",2017-09-08,35,135,704.2
412,The Sixth Sense ,Psychological /Thriller,M.Night Shyamalan,"Bruce Willis, Toni Collette",1999-08-06,40,108,672.8
413,I Am Legend ,Post-Apocalyptic/Action/Thriller,Francis Lawrence ,"Will Smith, Alice Braga",2007-12-14,150,101,585
414,World War Z,Action/Horror,Marc Forster ,"Brad Pitt, Dede Gardner ",2013-06-21,190,116,540
415,Jaws,Thriller,Steven Spielberg ,"Roy Scheider, Robert Shaw ",1975-06-20,9,124,476.5
416,It Chapter Two ,Supernatural/Horror,Andy Muschietti ,"James McAvoy, Jessica Chastain",2015-09-06,79,169,473.1
417,Bettlejuice Beetlejuice ,Fantasy/Comedy/Horror,Tim Burton ,"Michael Keaton, Wiona Ryder",2024-09-06,99,104,451.1
418,The Exorcist ,Supernatural/Horror,William Friedkin ,"Ellen Burstyn, Max Von Sydow",1973-12-26,12,122,441.3
419,Signs ,Sc-Fi/Thriller/Horror,M.Night Shyamalan,"Mel Gibson, Joaquin Phoenix",2002-08-02,72,106,408.2
420,Prometheus ,Sc-Fi/Fiction/Horror,Ridley Scott,"Noomi Rapace, Michael Fassbender ",2012-06-08,120,124,403.4
421,The Nun ,Gothic/Supernatural/Horror,Corin Hardy ,"Demian Bichir, Raissa Farmiga ",2018-09-07,22,96,366
422,Hannibal ,Horror,Ridley Scott,"Anthony Hopkins, Julianne Moore ",2001-02-09,87,131,351.6
423,Alien: Romulus ,Sc-Fi/Horror,Fede Alvarez,"Cailee Spaeny, David Jonsson",2024-08-16,80,119,350.9
424,A Quiet Place ,Post-Apocalyptic/Horror,John Krasinski ,"Emily Blunt, John Krasinski",2018-04-06,17,90,341
425,The Conjuring 2 ,Supernatural/Horror,James Wan ,"Vera Farmiga, Patrick Wilson",2016-06-10,40,134,321.8
426,The Conjuring,Supernatural/Horror,James Wan ,"Vera Farmiga, Patrick Wilson",2013-07-19,20,112,319.5
427,Resident Evil: The Final Chapter ,Action/Horror,Paul W. S. Anderson ,"Milla Jovovich, Lain Glen ",2017-02-03,40,106,312.2
428,Annabelle: Creation ,Supernatural/Horror,David F.Sandberg ,"Stephanie Sigman, Talitha Bateman ",2017-08-11,15,110,306.5
429,Van Helsing ,Action/Horror,Stephen Sommers ,"Hugh Jackman, Kate Beckinsale ",2004-05-07,160,131,300.2
430,Resident Evil: Afterlife,Action/Horror,Paul W. S. Anderson ,"Milla Jovovich, Ali Larter ",2010-09-02,60,97,300.2
431,A Quiet Place Part II,Post-Apocalyptic/Horror,John Krasinski ,"Emily Blunt, Cillian Murphy",2021-05-28,55,97,297.4
432,Five Nights at Freddy's ,Supernatural/Horror,Emma Tammi ,"Josh Hutcherson, Elizabeth Lail",2023-10-27,20,109,297.1
433,Split ,Psychological/Thriller,M.Night Shyamalan,"James McAvoy, Anya Taylor-Joy",2017-01-20,9,118,278.5
434,Scary Movie ,Slasher/Parody,Keenen Ivory Wayans ,"Jon Abrahams, Rick Ducommun",2000-07-07,19,88,278
435,The Silence of the Lambs ,Psychological/Horror,Jonathan Demme,"Jodie Foster, Anthony Hopkins",1991-02-14,19,118,272.7
436,The Nun II,Gothic/Supernatural/Horror,Michael Chaves,"Bonnie Aarons, Taissa Farmiga ",2023-09-08,38.5,110,269.5
437,A Quiet Place:Day One ,Apocalyptic/Horror,Michael Sarnoski ,"Lupita Nyong'o, Joseph Quinn",2024-06-28,67,99,261.8
438,Halloween ,Slasher ,David Gordon Green ,"Jamie Lee Curtis, Judy Greer",2018-10-19,10,106,259.9
439,The Village ,Period/Thriller ,M.Night Shyamalan,"Joaquin Phoenix, Adrien Brody ",2004-07-30,60,108,256.7
440,Annabelle,Supernatural/Horror ,John R.Leonetti,"Annabelle Wallis, Ward Horton ",2014-10-03,6.5,99,257.6
441,Us ,Psychological/Horror,Jordan Peele ,"Lupita Nyong'o, Winston Duke",2019-03-22,20,116,256.1
442,Get Out ,Psychological/Horror,Jordan Peele ,"Daniel Kaluuya, Allison Williams",2017-02-24,4.5,104,255.4
443,The Ring ,Supernatural/Horror,Gore Verbinski ,"Naomi Watts, Martin Hederson",2002-10-18,48,115,249.3
444,The Blair Witch Project ,Supernatural/Horror,"Daniel Myrick, Eduardo Sanchez ","Heather Donahue, Michael Williams ",1999-07-14,0.2,81,248.6
445,Dark Shadows ,Gothic/Dark/Fantasy ,Tim Burton ,"Johnny Deep, Michelle Pfeiffer",2012-05-11,150,114,245.5
446,Alien: Covenant ,Sc-Fi/Fiction/Horror,Ridley Scott,"Michael Fassbender, Katherine Waterston ",2017-05-19,97,112,240.9
447,Resident Evil: Retribution ,Action/Horror,Paul W. S. Anderson ,"Milla Jovovich, Michelle Rodriguez",2012-09-26,65,96,240.2
448,Annabelle Comes Home ,Supernatural/Horror,Gary Dauberman ,"Mickenna Grace, Madison Iseman ",2019-06-26,27,106,231.3
449,Constantine ,Superhero/Horror,Francis Lawrence ,"Keanu Reeves, Rachel Weisz",2005-02-18,70,121,230.9
450,Interview with the Vampire ,Gothic/Horror,Neil Jordan,"Tom Cruise, Brad Pitt",1994-11-11,60,122,223.7
451,Scary Movie 3,Parody ,David Zucker,"Anna Faris, Anthony Anderson",2003-10-24,48,84,220.6
452,Dracula Untold ,Action/Horror,Gary Shore ,"Luke Evans, Dominic Cooper",2014-10-10,70,92,217.1
453,Smile,Psychological/Supernatural/Horror,Parker Finn,"Sosie Bacon, Jessie T. Usher",2022-09-30,17,115,217.4
454,Bran Stoker's Dracula ,Gothic/Horror,Francis Ford Coppola ,"Gary Oldman, Winona Ryder ",1992-11-13,40,128,215.9
455,The Others ,Supernatural/Psychological/Horror ,Alejandro Amenabar ,"Nicole Kidman, Fionnula Flanagan",2001-09-07,17,104,210
456,Jaws 2 ,Horror/Thriller,Jeannot Szwarc,"Roy Scheider, Lorraine Gary ",1978-06-16,20,111,208
457,Sleepy Hollow ,Gothic/Supernatural/Horror,Tim Burton ,"Johnny Depp, Christina Ricci ",1999-11-19,70,106,207.1
458,Paranormal Activity 3,Supernatural/Horror,"Hery Joost, Ariel Schulman ","Lauren Bittner, Chris Smith ",2011-10-21,5,84,207
459,The Conjuring: The Devil Made Me Do It ,Supernatural/Horror,Michael Chaves ,"Vera Farmiga, Patrick Wilson",2021-06-04,39,112,206.4
460,Paranormal Activity ,Supernatural/Horror,Oren Peli,"Katie Featherston, Micah Sloat ",2009-09-25,0.2,86,194.2
461,Alien vs. Predator ,Sc-Fi/Action/Horror,Paul W. S. Anderson ,"Sanaa Lathan, Raoul Bova",2004-08-13,60,100,177.4
462,Aliens vs. Predator:Requiem ,Sc-Fi/Horror/Action,The Brothers Strause,"Steven Pasquale, Reiko Aylesworth",2007-12-25,40,94,130.3
463,Alien,Sc-Fi/Horror/Action,Ridley Scott,"Tom Skerritt, Sigourney Weaver",1979-09-06,11,116,187
464,Aliens,Sc-Fi/Horror/Action,James Cameron ,Sigourney Weaver ,1986-07-19,18.5,137,183.3
465,Alien 3,Sc-Fi/Horror/Action,David Fincher ,"Sigourney Weaver, Charles S. Dutton ",1992-05-22,50,114,159.8
466,Alien Resurrection,Sc-Fi/Horror/Action,Jean-Pierre Jeunet ,"Sigourney Weaver, Winona Ryder ",1997-11-26,70,109,161.4
467,Saw,Horror,James Wan ,"Cary Elwes, Danny Glover ",2004-10-29,1.2,103,104
468,Saw II,Horror,Darren Lynn Bousman,"Dannie Wahlberg, Franky G",2005-10-28,4,93,152.9
469,Saw III,Horror,Darren Lynn Bousman,"Tobin Bell, Shawnee Smith",2006-10-27,10,108,164.9
470,Saw IV,Horror,Darren Lynn Bousman,"Tobin Bell, Shawnee Smith",2007-10-26,10,92,139.4
471,Saw V ,Horror,David Hacki ,"Tobin Bell, Costas Mandylor ",2008-10-24,10.8,92,118.2
472,Saw VI,Horror,Kevin Greutert ,"Tobin Bell, Costas Mandylor ",2009-10-23,11,90,69.8
473,Saw 3D,Horror,Kevin Greutert ,"Tobin Bell, Costas Mandylor ",2010-10-29,17,90,136.2
474,Jigsaw,Horror ,The Spiering Brothers,"Matt Passmore, Callum Keith Rennie ",2017-10-27,10,92,104.2
475,Spiral ,Horror/Thriller,Darren Lynn Bousman,"Chris Rock, Max Minghella ",2021-05-14,20,93,40.6
476,Saw X,Horror,Kevin Greutert ,"Tobin Bell, Shawnee Smith",2023-09-29,13,118,125.3
477,Red Dragon ,Psychological/Thriller,Brett Ratner ,"Anthony Hopkins, Edward Norton",2002-10-04,78,124,209.2
478,Hannibal Rising ,Psychological/Horror/Thriller,Peter Webber,"Gaspard Ulliel, Gong Li",2007-02-22,75,121,82.1
479,Scream ,Slasher ,Wes Craven ,"David Arquette, Neve Campbell ",1996-12-20,14,111,173
480,Scream 2,Slasher ,Wes Craven ,"David Arquette, Neve Campbell ",1997-12-12,24,120,172
481,Scream 3,Slasher ,Wes Craven ,"David Arquette, Neve Campbell ",2000-02-04,40,117,161.8
482,Scream 4,Slasher ,Wes Craven ,"David Arquette, Neve Campbell ",2011-04-15,40,111,97.2
483,Scream (2022 film),Slasher ,Matt Bettinelli-Olpin,"Melissa Barrera, Neve Campbell",2022-01-14,24,114,138.9
484,Scream VI,Slasher ,Matt Bettinelli-Olpin,"Melissa Barrera, Jasmin Savoy Brown",2023-03-10,33,122,169
485,Scary Movie 2,Supernatural/Parody,Kennen Ivory Wayans,"Shawn Wayans, Marlon Wayans",2001-07-04,45,82,141.2
486,Scary Movie 4,Parody ,David Zucker,"Anna Faris, Regina Hall",2006-04-14,40,83,178.3
487,Scary Movie 5,Parody ,Malcolm D.Lee,"Ashley Tisdale, Simon Rex",2013-04-12,20,86,78.4
488,Paranormal Activity 2,Supernatural/Horror,Tod Williams,"Sprague Grayden, Brain Boland",2010-10-22,3,91,177.5
489,Paranormal Activity 4,Supernatural/Horror,"Henry Joost, Ariel Schulman","Kathryn Newton, Matt Shively ",2012-10-19,5,88,142.8
490,Paranormal Activity: The Marked Ones,Supernatural/Horror,Christopher Landon,"Jorge Diaz, Andrew Jacobs",2014-01-03,5,24,90.9
491,Paranormal Activity: The Ghost Dimension,Supernatural/Horror,Gregory Plotkin,"Chris J. Murray, Brittany Shaw ",2015-10-23,10,88,78.9
492,Paranormal Activity: Next of Kin,Supernatural/Horror,William Eubank,"Emily Bader, Roland Buck III",2021-10-29,0.015,98,194
493,Halloween: Resurrection,Slasher,Rick Rosenthal ,"Busta Rhymes, Bianca Kajlich ",2002-07-12,15,90,37.6
494,Halloween (2007),Slasher,Rob Zombie ,"Malcolm McDowell, Sheri Moon Zombie ",2007-08-31,15,110,80.4
495,Halloween II,Slasher,Rob Zombie ,"Malcolm McDowell, Sheri Moon Zombie ",2009-08-28,15,105,39.4
496,Halloween Kills ,Slasher ,David Gordon Green ,"Jamie Lee Curtis, Judy Greer",2021-10-15,20,105,133.4
497,Halloween Ends,Slasher,David Gordon Green ,"Jamie Lee Curtis, Andi Matichak ",2022-10-11,33,111,105.4
498,Predators,Sc-Fi/Action,Nimrod Antal,"Adrien Brody, Topher Grace",2010-10-09,40,107,127.2
499,The Predator,Sc-Fi/Action,Shane Black ,"Boyd Holbrook, Olivia  Munn",2018-09-14,88,108,160.5
500,Insidious: The Red Door,Supernatural/Horror,Patrick Wilson,"Ty Simpkins, Rose Byrne",2023-07-07,16,107,189.1
